Current Satellite Time,q_1 of Estimated Quaternion,q_2 of Estimated Quaternion,q_3 of Estimated Quaternion,q_4 of Estimated Quaternion,X axis of Estimated Body Rate,Y axis of Estimated Body Rate,Z axis of Estimated Body Rate,X axis of Estimated Position,Y axis of Estimated Position,Z axis of Estimated Position,X axis of Estimated Velocity,Y axis of Estimated Velocity,Z axis of Estimated Velocity
2022-08-03 5:35,0.404401074,-0.69712665,0.577547122,-0.130052011,0.000387362,3.20E-05,0.005907357,-3063.97,-6146.289,985.1136,6.805677,-3.2691524,0.752015054
2022-08-03 5:36,0.403220939,-0.697821937,0.57731126,-0.131031015,0.000163233,-8.58E-05,0.007179944,-2858.18848,-6241.041,1007.13873,6.91184425,-3.04707813,0.7161995
2022-08-03 5:36,0.402104689,-0.698471386,0.577093563,-0.13195666,0.000369482,-4.91E-05,0.005345617,-2649.3335,-6329.08057,1028.07788,7.01058,-2.82172155,0.67961067
2022-08-03 5:37,0.401003148,-0.699121395,0.576865241,-0.132861747,-0.000480389,-1.78E-05,0.006606875,-2437.629,-6410.31348,1047.9082,7.10177851,-2.593325,0.642288
2022-08-03 5:37,0.399950053,-0.699728866,0.576657635,-0.133736456,0.000171875,-4.13E-05,0.006373717,-2223.303,-6484.65234,1066.60828,7.1853404,-2.362135,0.604271948
2022-08-03 5:38,0.515973435,-0.630980734,0.528724009,-0.236824088,0.199716225,-1.03463125,-0.26837492,-2006.58569,-6552.016,1084.158,7.261175,-2.12839985,0.5656032
2022-08-03 5:38,0.6620475,-0.484949272,0.42529909,-0.381625463,0.19191058,-0.869502842,-0.224459231,-1787.71069,-6612.3335,1100.53845,7.329201,-1.89237261,0.526324
2022-08-03 5:39,0.736717509,-0.356226399,0.332288063,-0.468971968,0.112628005,-0.565884948,-0.15079385,-1566.91272,-6665.538,1115.73181,7.38934469,-1.65430689,0.4864764
2022-08-03 5:39,0.770742475,-0.26976083,0.267233679,-0.511635897,0.055696037,-0.339580953,-0.09211311,-1344.42957,-6711.57373,1129.7218,7.441541,-1.41445959,0.446103722
2022-08-03 5:40,0.787440193,-0.21649512,0.225432548,-0.531270148,0.021684602,-0.207459942,-0.056042828,-1120.50012,-6750.39063,1142.49329,7.485734,-1.17308879,0.405249417
2022-08-03 5:40,0.797293991,-0.18287801,0.197619891,-0.540207648,0.007279334,-0.138291657,-0.037716597,-895.3656,-6781.94629,1154.03247,7.52187538,-0.930455267,0.363957673
